127.0.0.1 - - [23/Jul/2017:12:57:58 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:58:04 +0800] "GET /ssm-crud/ HTTP/1.1" 200 11675
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:58:04 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:58:04 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:58:05 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:58:05 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:58:29 +0800] "GET /ssm-crud/ HTTP/1.1" 200 11675
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:58:29 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:58:29 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:58:29 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:58:29 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:58:29 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:58:32 +0800] "GET /ssm-crud/depts HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:03:54 +0800] "GET /ssm-crud/ HTTP/1.1" 200 11738
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:03:54 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:03:55 +0800] "GET /ssm-crud/depts HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:04:04 +0800] "GET /ssm-crud/depts HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:04:13 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:04:20 +0800] "GET /ssm-crud/ HTTP/1.1" 200 11738
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:04:20 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:04:24 +0800] "GET /ssm-crud/depts HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:06:48 +0800] "GET /ssm-crud/ HTTP/1.1" 200 11738
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:06:48 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:06:50 +0800] "GET /ssm-crud/depts HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:06:56 +0800] "GET /ssm-crud/judgeEmpName?empName=Francis HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:08:13 +0800] "GET /ssm-crud/ HTTP/1.1" 200 11737
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:08:13 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:08:16 +0800] "GET /ssm-crud/depts HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:08:21 +0800] "GET /ssm-crud/judgeEmpName?empName=Francis HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:08:54 +0800] "GET /ssm-crud/ HTTP/1.1" 200 11716
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:08:54 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:08:56 +0800] "GET /ssm-crud/depts HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:09:03 +0800] "GET /ssm-crud/judgeEmpName?empName=Francis HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:09:12 +0800] "GET /ssm-crud/depts HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:09:20 +0800] "GET /ssm-crud/judgeEmpName?empName=Francis HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:14:49 +0800] "GET /ssm-crud/ HTTP/1.1" 200 11975
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:14:49 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:14:51 +0800] "GET /ssm-crud/depts HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:14:56 +0800] "GET /ssm-crud/judgeEmpName?empName=Francis HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:14:59 +0800] "GET /ssm-crud/depts HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:15:04 +0800] "GET /ssm-crud/judgeEmpName?empName=Francis HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:15:15 +0800] "GET /ssm-crud/judgeEmpName?empName=Fran HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:15:31 +0800] "GET /ssm-crud/judgeEmpName?empName=Franaaa HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:16:41 +0800] "GET /ssm-crud/ HTTP/1.1" 200 11976
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:16:41 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:16:42 +0800] "GET /ssm-crud/depts HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:16:46 +0800] "GET /ssm-crud/judgeEmpName?empName=Francis HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:16:49 +0800] "GET /ssm-crud/judgeEmpName?empName=Franc HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:16:56 +0800] "GET /ssm-crud/judgeEmpName?empName=Francis HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:17:43 +0800] "POST /ssm-crud/emp HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:17:43 +0800] "GET /ssm-crud/emps?pn=1118 HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:43:41 +0800] "GET /ssm-crud/ HTTP/1.1" 200 12020
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:43:41 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:43:42 +0800] "GET /ssm-crud/depts HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [23/Jul/2017:13:43:49 +0800] "GET /ssm-crud/judgeEmpName?empName=Francis HTTP/1.1" 200 64
