127.0.0.1 - - [20/Jul/2017:19:26:00 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:26:01 +0800] "GET /ssm-crud/ HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:26:01 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:26:01 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:26:03 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:26:03 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:26:52 +0800] "GET /ssm-crud/ HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:26:52 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:26:52 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:26:52 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:26:52 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:26:52 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:27:05 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:27:12 +0800] "GET /ssm-crud/ HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:27:12 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:36:00 +0800] "GET /ssm-crud/ HTTP/1.1" 200 3554
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:36:00 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:36:34 +0800] "GET /ssm-crud/ HTTP/1.1" 200 3563
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:36:34 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:38:21 +0800] "GET /ssm-crud/ HTTP/1.1" 200 4037
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:38:21 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:40:06 +0800] "GET /ssm-crud/ HTTP/1.1" 200 4016
0:0:0:0:0:0:0:1 - - [20/Jul/2017:19:40:06 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1018
